# Public enum/list values documented in CONFIGURATION.html.
# field-token<TAB>accepted-public-value
general.fullscreen	true
general.fullscreen	false
general.windowed_fullscreen_mode	true
general.windowed_fullscreen_mode	false
general.startminimized	true
general.startminimized	false
general.scene_detect	true
general.scene_detect	false
shortcuts.foreground_only	true
shortcuts.foreground_only	false
decklink.rgb_8bit_packing	AUTO
decklink.rgb_8bit_packing	ARGB
decklink.rgb_8bit_packing	BGRA
decklink.rgb_10bit_packing	AUTO
decklink.rgb_10bit_packing	R210
decklink.rgb_10bit_packing	R10B
decklink.rgb_10bit_packing	R10L
decklink.rgb_12bit_packing	AUTO
decklink.rgb_12bit_packing	R12B
decklink.rgb_12bit_packing	R12L
directshow.frame_offset	AUTO
directshow.renderer_nominal_range	AUTO
directshow.conversion.conversion_method	AUTO
directshow.conversion.conversion_method	SIMD
directshow.conversion.conversion_method	OPTIMIZED
directshow.conversion.conversion_method	STANDARD
directshow.ppm.ppm	AUTO
vprenderer.quality	fast
vprenderer.quality	balanced
vprenderer.quality	high
vprenderer.tone_mapping	AUTO
vprenderer.tone_mapping	spline
vprenderer.tone_mapping	bt2390
vprenderer.tone_mapping	st2094-40
vprenderer.tone_mapping	reinhard
vprenderer.gamut_mapping	AUTO
vprenderer.gamut_mapping	perceptual
vprenderer.gamut_mapping	softclip
vprenderer.gamut_mapping	relative
vprenderer.gamut_mapping	desaturate
vprenderer.peak_detection	AUTO
vprenderer.peak_detection	default
vprenderer.peak_detection	off
vprenderer.peak_detection	on
vprenderer.peak_detection	high_quality
vprenderer.contrast_recovery	AUTO
vprenderer.upscaler	AUTO
vprenderer.upscaler	ewa_lanczos4sharpest
vprenderer.upscaler	ewa_lanczossharp
vprenderer.upscaler	ewa_lanczos
vprenderer.upscaler	lanczos
vprenderer.upscaler	catmull_rom
vprenderer.upscaler	bicubic
vprenderer.upscaler	gaussian
vprenderer.upscaler	oversample
vprenderer.upscaler	bilinear
vprenderer.upscaler	nearest
vprenderer.upscaler	none
vprenderer.downscaler	AUTO
vprenderer.downscaler	lanczos
vprenderer.downscaler	mitchell
vprenderer.downscaler	catmull_rom
vprenderer.downscaler	bicubic
vprenderer.downscaler	gaussian
vprenderer.downscaler	hermite
vprenderer.downscaler	bilinear
vprenderer.downscaler	box
vprenderer.downscaler	gpu
vprenderer.deband	AUTO
vprenderer.deband	on
vprenderer.deband	off
vprenderer.dithering	AUTO
vprenderer.dithering	on
vprenderer.dithering	off
vprenderer.display_bit_depth	AUTO
vprenderer.display_bit_depth	8
vprenderer.display_bit_depth	10
